,ps,note_start,note_end,velocity
0,57,225.405405405405,225.608108108108,61
1,67,225.405405405405,225.608108108108,61
2,62,225.405405405405,225.608108108108,61
7,84,225.405405405405,225.810810810811,58
3,81,225.810810810811,226.216216216216,58
4,79,226.216216216216,226.621621621622,56
5,41,226.621621621622,226.824324324324,66
6,48,226.621621621622,226.824324324324,66
8,77,226.621621621622,227.027027027027,63
9,79,227.229729729730,227.635135135135,62
20,81,227.567567567568,227.837837837838,57
10,58,228.040540540541,228.243243243243,58
11,63,228.040540540541,228.243243243243,58
12,67,228.040540540541,228.243243243243,58
21,82,228.040540540541,228.445945945946,62
13,79,228.445945945946,228.851351351351,60
14,77,228.851351351351,229.054054054054,75
15,75,229.256756756757,229.527027027027,64
16,48,229.256756756757,229.527027027027,64
17,41,229.256756756757,229.527027027027,64
18,74,229.729729729730,230.000000000000,68
19,75,230.000000000000,230.202702702703,67
22,74,230.067567567568,230.270270270270,67
23,75,230.472972972973,230.675675675676,66
36,60,230.675675675676,230.878378378378,58
24,80,230.675675675676,231.081081081081,68
35,61,230.675675675676,230.878378378378,58
34,65,230.675675675676,230.878378378378,58
33,56,230.675675675676,230.878378378378,58
25,77,231.081081081081,231.486486486486,71
26,75,231.486486486486,231.891891891892,75
29,41,231.891891891892,232.432432432432,72
28,48,231.891891891892,232.432432432432,72
27,73,231.891891891892,232.432432432432,72
30,72,232.432432432432,232.837837837838,70
37,70,232.702702702703,232.972972972973,71
39,64,233.243243243243,235.472972972973,70
40,68,233.243243243243,235.472972972973,70
38,61,233.243243243243,235.472972972973,70
32,48,233.243243243243,235.270270270270,72
31,58,233.243243243243,235.270270270270,72
41,48,233.513513513514,235.472972972973,70
42,67,234.729729729730,235.540540540541,51
43,41,236.756756756757,236.959459459459,65
52,48,236.756756756757,236.959459459459,64
51,84,236.756756756757,236.959459459459,64
44,81,237.162162162162,237.567567567568,65
53,57,237.162162162162,237.364864864865,62
45,79,237.567567567568,237.972972972973,61
46,77,237.972972972973,238.378378378378,63
47,79,238.378378378378,238.918918918919,57
48,81,238.918918918919,239.324324324324,72
49,38,239.391891891892,239.594594594595,68
54,84,239.391891891892,239.594594594595,64
55,45,239.391891891892,239.594594594595,64
56,81,239.797297297297,240.337837837838,66
50,53,239.797297297297,240.067567567568,60
57,79,240.270270270270,240.675675675676,67
66,77,240.608108108108,241.013513513514,67
58,79,241.081081081081,241.351351351351,63
59,81,241.351351351351,241.824324324324,68
60,79,241.621621621622,241.824324324324,62
61,84,242.027027027027,242.432432432432,66
62,46,242.027027027027,242.432432432432,66
63,81,242.432432432432,242.837837837838,68
64,53,242.432432432432,242.837837837838,68
65,60,242.837837837838,243.040540540541,64
67,84,242.837837837838,243.378378378378,75
71,62,243.243243243243,243.783783783784,67
70,69,243.243243243243,243.783783783784,67
68,86,243.243243243243,243.783783783784,67
69,65,243.243243243243,243.783783783784,67
72,81,243.783783783784,244.324324324324,61
79,86,244.256756756757,244.662162162162,58
73,48,244.662162162162,245.202702702703,68
74,84,244.662162162162,245.202702702703,68
80,57,245.135135135135,245.675675675676,64
81,81,245.135135135135,245.675675675676,64
75,64,245.675675675676,245.878378378378,64
76,79,245.675675675676,245.878378378378,64
77,69,246.081081081081,246.621621621622,60
78,62,246.081081081081,246.621621621622,60
82,77,246.216216216216,246.824324324324,68
83,50,247.837837837838,248.108108108108,71
87,72,247.837837837838,248.243243243243,67
84,57,248.108108108108,248.378378378378,60
90,69,248.310810810811,248.716216216216,65
88,64,248.310810810811,248.513513513514,67
85,67,248.716216216216,249.256756756757,61
89,65,249.189189189189,249.594594594595,67
86,67,249.527027027027,249.932432432432,66
91,69,250.135135135135,250.540540540541,67
92,48,250.540540540541,250.743243243243,74
100,72,250.540540540541,250.945945945946,68
93,57,250.743243243243,250.945945945946,52
101,69,250.945945945946,251.351351351351,68
94,62,250.945945945946,251.148648648649,55
95,67,251.351351351351,251.621621621622,67
96,65,251.891891891892,252.162162162162,70
97,67,252.364864864865,252.567567567568,68
98,69,252.567567567568,252.770270270270,68
99,67,252.770270270270,252.972972972973,68
102,69,252.972972972973,253.175675675676,66
103,72,253.175675675676,253.581081081081,68
104,46,253.175675675676,253.581081081081,68
105,69,253.581081081081,254.121621621622,66
106,53,253.581081081081,254.121621621622,66
116,72,254.054054054054,254.594594594595,68
114,57,254.054054054054,254.324324324324,64
107,74,254.594594594595,255.000000000000,62
108,62,254.594594594595,255.000000000000,62
109,60,254.594594594595,255.000000000000,62
110,65,254.594594594595,255.000000000000,62
111,69,255.000000000000,255.540540540541,73
115,74,255.405405405405,255.810810810811,73
112,76,255.810810810811,256.216216216216,75
113,45,255.810810810811,256.216216216216,75
117,52,256.216216216216,256.756756756757,73
118,73,256.216216216216,256.756756756757,73
119,59,256.756756756757,257.027027027027,77
127,71,256.756756756757,257.027027027027,78
120,64,257.229729729730,257.432432432432,78
121,61,257.229729729730,257.432432432432,78
128,69,257.229729729730,258.040540540541,81
122,57,257.635135135135,258.175675675676,78
129,56,258.108108108108,258.378378378378,66
130,54,258.648648648649,258.851351351351,60
123,88,258.648648648649,259.256756756757,58
125,61,259.256756756757,260.675675675676,54
124,69,259.256756756757,260.675675675676,54
131,85,259.256756756757,259.797297297297,62
126,68,259.256756756757,260.675675675676,54
132,83,259.729729729730,260.270270270270,57
133,81,260.270270270270,260.675675675676,52
134,83,260.675675675676,261.081081081081,51
135,85,261.081081081081,261.351351351351,58
136,88,261.621621621622,262.162162162162,70
138,54,261.621621621622,261.891891891892,64
141,61,262.094594594595,263.716216216216,57
140,62,262.094594594595,263.716216216216,57
142,69,262.094594594595,263.716216216216,57
139,85,262.094594594595,262.500000000000,64
137,83,262.500000000000,263.040540540541,52
143,81,262.972972972973,263.243243243243,52
144,71,263.513513513514,263.783783783784,63
149,73,263.716216216216,263.918918918919,68
145,71,263.918918918919,264.189189189189,61
150,73,264.121621621622,264.324324324324,68
146,40,264.324324324324,264.527027027027,73
147,76,264.527027027027,265.067567567568,62
154,57,264.932432432432,265.472972972973,70
152,56,264.932432432432,265.472972972973,70
153,64,264.932432432432,265.472972972973,70
151,73,264.932432432432,265.472972972973,70
148,76,265.405405405405,265.675675675676,76
155,38,265.945945945946,266.216216216216,81
169,78,265.945945945946,266.486486486487,74
156,66,266.486486486487,266.891891891892,74
157,57,266.486486486487,266.891891891892,74
158,73,266.486486486487,266.891891891892,74
159,61,266.486486486487,266.891891891892,74
160,78,266.959459459459,267.364864864865,80
161,36,267.364864864865,267.905405405405,79
162,74,267.364864864865,267.905405405405,79
163,79,267.364864864865,267.905405405405,79
173,72,267.837837837838,268.108108108108,78
172,76,267.837837837838,268.108108108108,78
170,43,267.837837837838,268.378378378378,67
166,52,268.378378378378,268.783783783784,71
165,67,268.378378378378,268.783783783784,71
